"Date","Price","Open","High","Low","Vol.","Change %"
"2024-11-22","178.29","178.75","180.16","177.67","177.90K","0.08%"
"2024-11-21","178.14","177.00","178.43","176.20","338.15K","0.50%"
"2024-11-20","177.26","175.43","177.83","173.57","301.57K","1.18%"
"2024-11-19","175.20","177.00","177.00","173.84","365.21K","-1.56%"
"2024-11-18","177.98","181.48","181.48","176.90","388.79K","-1.93%"
"2024-11-15","181.49","180.55","182.00","179.35","337.66K","0.48%"
"2024-11-14","180.63","183.01","184.04","179.71","366.20K","-1.23%"
"2024-11-13","182.88","183.97","186.60","180.07","404.54K","-2.41%"
"2024-11-12","187.39","186.02","187.63","185.02","340.83K","0.75%"
"2024-11-11","186.00","186.26","188.77","185.38","169.00K","0.26%"
"2024-11-08","185.51","186.27","187.41","185.25","334.80K","-0.18%"
"2024-11-07","185.84","184.17","186.23","183.76","372.40K","1.13%"
"2024-11-06","183.77","181.66","183.99","180.49","294.96K","1.66%"
"2024-11-05","180.77","177.98","181.32","177.00","265.07K","1.57%"
"2024-11-04","177.97","176.82","178.64","176.55","186.39K","0.32%"
"2024-11-01","177.41","176.08","178.07","176.04","200.84K","0.78%"
"2024-10-31","176.04","179.15","179.15","175.51","403.40K","-1.83%"
"2024-10-30","179.33","175.73","179.58","175.46","332.78K","1.79%"
"2024-10-29","176.17","175.53","176.94","174.63","266.72K","0.11%"
"2024-10-28","175.98","173.23","176.69","173.23","230.10K","1.72%"
"2024-10-25","173.00","173.79","174.93","172.67","244.34K","-0.80%"
"2024-10-24","174.40","173.08","174.95","173.08","292.11K","0.18%"
"2024-10-23","174.08","173.73","175.52","172.96","195.64K","-0.01%"
"2024-10-22","174.09","172.91","174.23","170.98","256.14K","0.14%"
"2024-10-21","173.84","176.86","177.75","173.05","282.92K","-1.91%"
"2024-10-18","177.23","177.71","177.80","176.91","232.59K","-0.06%"
"2024-10-17","177.33","177.49","178.64","176.83","268.71K","0.12%"
"2024-10-16","177.11","177.55","178.56","176.83","274.26K","-0.25%"
"2024-10-15","177.55","177.19","178.60","176.51","390.70K","0.08%"
"2024-10-11","177.41","176.90","178.46","176.78","226.29K","0.35%"
"2024-10-10","176.80","176.73","177.60","176.20","238.90K","-0.12%"
"2024-10-09","177.02","175.11","177.62","175.07","264.71K","0.92%"
"2024-10-08","175.41","175.00","175.83","173.76","295.73K","0.65%"
"2024-10-07","174.28","172.61","175.09","172.51","312.34K","0.79%"
"2024-10-04","172.91","174.90","176.77","172.83","257.98K","-1.22%"
"2024-10-03","175.05","175.62","176.44","172.13","276.14K","-0.39%"
"2024-10-02","175.73","179.00","180.79","175.62","258.44K","-2.07%"
"2024-10-01","179.44","179.86","180.66","178.31","401.87K","-0.36%"
"2024-09-30","180.08","177.67","180.40","177.46","754.80K","1.32%"
"2024-09-27","177.74","178.28","179.24","177.65","234.84K","-0.22%"
"2024-09-26","178.14","178.00","179.39","176.21","267.30K","0.23%"
"2024-09-25","177.74","176.58","178.30","176.20","187.12K","0.57%"
"2024-09-24","176.74","177.64","178.82","176.68","282.24K","-0.32%"
"2024-09-23","177.31","174.30","177.37","173.68","320.16K","1.63%"
"2024-09-20","174.46","171.73","174.50","170.25","1.79M","2.20%"
"2024-09-19","170.70","175.07","175.76","170.64","533.59K","-1.90%"
"2024-09-18","174.01","175.07","175.53","172.90","439.53K","-0.58%"
"2024-09-17","175.03","181.35","181.97","173.45","524.11K","-3.19%"
"2024-09-16","180.80","180.81","182.19","179.92","404.93K","0.18%"
"2024-09-13","180.47","179.54","180.94","178.94","320.50K","0.24%"
"2024-09-12","180.04","176.57","180.30","176.56","381.92K","1.97%"
"2024-09-11","176.57","175.35","176.89","173.84","409.92K","0.48%"
"2024-09-10","175.72","175.87","177.71","174.26","390.20K","-0.19%"
"2024-09-09","176.06","174.59","176.46","174.56","224.17K","1.04%"
"2024-09-06","174.25","175.56","176.23","172.71","367.01K","-0.98%"
"2024-09-05","175.98","175.78","176.88","175.06","269.68K","0.03%"
"2024-09-04","175.92","174.81","176.63","174.19","182.87K","0.25%"
"2024-09-03","175.48","175.60","175.79","172.60","402.67K","-0.23%"
"2024-08-30","175.88","174.11","176.14","173.19","572.78K","1.08%"
"2024-08-29","174.00","173.08","174.94","172.91","214.32K","0.43%"
"2024-08-28","173.25","172.97","174.40","172.75","165.45K","0.13%"
"2024-08-27","173.02","172.59","173.94","172.42","183.44K","-0.10%"
"2024-08-26","173.19","172.52","174.28","172.51","142.81K","0.16%"
"2024-08-23","172.91","172.40","173.76","172.22","171.80K","0.35%"
"2024-08-22","172.31","172.11","172.44","171.27","177.70K","0.36%"
"2024-08-21","171.69","171.30","172.53","170.99","207.44K","0.29%"
"2024-08-20","171.20","171.33","171.90","171.02","194.16K","0.01%"
"2024-08-19","171.19","172.47","173.53","170.77","527.43K","-0.86%"
"2024-08-16","172.68","173.08","173.84","171.97","232.64K","-0.48%"
"2024-08-15","173.52","171.29","174.25","171.00","226.41K","1.52%"
"2024-08-14","170.93","168.33","171.10","167.24","258.25K","1.39%"
"2024-08-13","168.58","166.80","168.68","166.14","217.39K","1.70%"
"2024-08-12","165.77","164.93","166.70","164.07","166.80K","0.48%"
"2024-08-09","164.97","165.12","166.23","164.28","222.26K","0.25%"
"2024-08-08","164.56","163.69","165.64","163.69","255.24K","1.07%"
"2024-08-07","162.82","165.39","166.36","162.59","292.69K","-1.34%"
"2024-08-06","165.03","164.24","166.07","163.17","471.16K","-1.39%"
"2024-08-02","167.36","166.66","169.42","165.69","348.55K","-0.54%"
"2024-08-01","168.27","170.53","170.67","167.77","276.86K","-1.16%"
"2024-07-31","170.25","169.50","170.87","168.89","213.06K","0.50%"
"2024-07-30","169.40","168.23","170.41","168.23","342.28K","0.83%"
"2024-07-29","168.01","168.72","169.79","167.93","185.91K","-0.43%"
"2024-07-26","168.73","169.05","169.90","166.85","273.43K","0.26%"
"2024-07-25","168.30","164.20","169.52","163.25","324.95K","-0.41%"
"2024-07-24","168.99","169.65","171.99","168.81","290.85K","-0.49%"
"2024-07-23","169.82","168.76","170.09","168.05","207.01K","0.56%"
"2024-07-22","168.88","169.94","170.01","168.00","356.70K","-0.24%"
"2024-07-19","169.28","166.14","169.40","166.14","202.55K","1.88%"
"2024-07-18","166.16","164.99","166.68","164.99","493.16K","0.39%"
"2024-07-17","165.51","165.13","166.99","164.62","253.30K","-0.44%"
"2024-07-16","166.24","166.09","167.35","165.06","247.69K","0.10%"
"2024-07-15","166.08","166.71","167.55","165.55","288.11K","-0.14%"
"2024-07-12","166.31","165.74","167.70","165.74","241.33K","0.45%"
"2024-07-11","165.56","166.56","166.91","165.56","304.27K","-0.32%"
"2024-07-10","166.09","165.09","167.16","164.75","259.67K","0.85%"
"2024-07-09","164.69","164.89","165.67","164.31","303.86K","-0.06%"
"2024-07-08","164.79","163.98","165.00","163.42","333.69K","0.88%"
"2024-07-05","163.35","162.40","164.25","161.79","397.85K","0.80%"
"2024-07-04","162.05","162.82","164.10","162.03","110.30K","0.16%"
"2024-07-03","161.79","160.14","163.40","160.14","299.33K","1.28%"
"2024-07-02","159.75","158.45","160.17","157.42","319.53K","0.66%"
"2024-06-28","158.70","159.34","160.11","157.40","265.27K","-0.26%"
"2024-06-27","159.11","157.77","159.24","157.28","311.62K","0.70%"
"2024-06-26","158.01","156.88","158.54","156.21","370.37K","0.63%"
"2024-06-25","157.02","156.20","157.54","154.80","284.89K","0.33%"
"2024-06-24","156.50","154.24","156.68","154.14","389.94K","1.47%"
"2024-06-21","154.24","153.92","154.60","153.36","1.40M","0.25%"
"2024-06-20","153.86","154.40","155.29","152.76","517.66K","-0.76%"
"2024-06-19","155.04","155.46","156.15","154.27","305.21K","-0.55%"
"2024-06-18","155.90","157.03","157.48","155.47","677.39K","-0.74%"
"2024-06-17","157.07","156.09","157.50","156.01","455.50K","0.46%"
"2024-06-14","156.35","156.54","157.00","154.71","526.77K","-0.84%"
"2024-06-13","157.67","158.70","159.73","157.45","350.08K","-0.75%"
"2024-06-12","158.86","158.41","160.00","157.86","272.72K","0.16%"
